Variant,Cycle,SEI Thickness [m],Growth Rate [m/cycle],Crack Length [m],Discharge Capacity [A.h],CC Capacity [A.h],CC Time [h],CV Capacity [A.h],CV Time [h],Total Charge Capacity [A.h]
Scale 0.1,78,2.9406627466765996e-08,1.1249387538705382e-10,2.1016707382253543e-08,3.956816193407374,3.6739761100583657,5.143566554080138,0.28446448325043877,0.9791490390928175,3.9584405933088043
Scale 0.1,79,2.951871093479991e-08,1.120834680339127e-10,2.1030186538599376e-08,3.956154517192273,3.6732527340122356,5.142553827620304,0.284526063723869,0.9795657925984784,3.9577787977361045
Scale 0.1,80,2.963038869390525e-08,1.1167775910534308e-10,2.104367744224849e-08,3.955493691747922,3.6725304805595504,5.141542672784993,0.28458730245113095,0.9799817757785547,3.9571177830106814
Scale 0.1,81,2.9741665350501554e-08,1.1127665659630198e-10,2.105718010970945e-08,3.954833632897013,3.671809319626527,5.140533047477859,0.28464814777130004,0.9803965477278442,3.956457467397827
Scale 0.1,82,2.985254541998969e-08,1.1088006948813943e-10,2.10706945567938e-08,3.954174266736227,3.6710892347010087,5.139524928581647,0.28470854014004304,0.9808094984996814,3.9557977748410518
Scale 0.1,83,2.9963033334471356e-08,1.1048791448166341e-10,2.108422079995394e-08,3.95351550749409,3.670370190338879,5.138518266473859,0.28476848743008637,0.9812207254630394,3.955138677768965
Scale 0.1,84,3.007313343810599e-08,1.1010010363463109e-10,2.109775885537113e-08,3.9528573339251856,3.6696522449666706,5.1375131429536935,0.28482782114211647,0.9816292190606006,3.954480066108787
Scale 0.1,85,3.0182849992266965e-08,1.0971655416097702e-10,2.1111308739064048e-08,3.9521996339472274,3.6689352828383224,5.136509395972617,0.28488659734933475,0.9820347724824217,3.953821880187657
Scale 0.1,86,3.029218717867461e-08,1.0933718640764854e-10,2.1124870467394382e-08,3.951542349509701,3.6682193173881417,5.135507044333011,0.2849447258900243,0.9824370212588747,3.953164043278166
Scale 0.1,87,3.04011490969672e-08,1.08961918292587e-10,2.1138444056023596e-08,3.950885400523749,3.667504322470594,5.1345060514588425,0.28500213414488906,0.982835149960394,3.952506456615483
