Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity,,Current Shunt
24.853,4.17629142,0,24.69419872,25.2517942,14.22547336,-0.848897297,479,14,100.2,0,22.8125,0,1.033,,0.848897297
24.953,4.17629142,0,24.68432098,25.26166092,14.22871006,-0.832957995,479,14,100.2,0,22.8125,0,1.033,,0.832957995
25.053,4.176171816,0,24.71395393,25.27152755,14.20281648,-0.856866948,479,14,100.2,0,22.8125,0,1.033,,0.856866948
25.153,4.176211684,0,24.69419872,25.27152755,14.22547336,-0.793109741,479,14,100.2,0,22.8125,0,1.033,,0.793109741
25.253,4.17629142,0,24.70407637,25.27152755,14.19957978,-0.761231137,479,14,100.2,0,22.8125,0,1.033,,0.761231137
25.353,4.176371156,0,24.71395393,25.28139409,14.23194676,-0.868821425,479,14,100.2,0,22.8125,0,1.033,,0.868821425
25.453,4.17629142,0,24.70407637,25.28139409,14.26107704,-0.840927646,479,14,100.2,0,22.8125,0,1.033,,0.840927646
25.553,4.176211684,0,24.71395393,25.2517942,14.25460365,-0.884760726,481,14,100.2,0,22.8125,0,1.033,,0.884760726
25.653,4.17629142,0,24.67444315,25.29126054,14.22223667,-0.789124915,481,14,100.2,0,22.8125,0,1.033,,0.789124915
25.753,4.17629142,0,24.71395393,25.3011269,14.18339629,-0.912654505,481,14,100.2,0,22.8125,0,1.033,,0.912654505
25.853,4.176251552,0,24.68432098,25.27152755,14.24489355,-0.761231137,481,14,100.2,0,22.8125,0,1.032,,0.761231137
25.953,4.17629142,0,24.67444315,25.27152755,14.22547336,-0.840927646,481,14,100.2,0,22.8125,0,1.032,,0.840927646
26.053,4.176251552,0,24.7238314,25.26166092,14.19957978,-0.844912472,481,14,100.2,0,22.8125,0,1.032,,0.844912472
26.153,4.176251552,0,24.7238314,25.2517942,14.23842016,-0.781155264,481,14,100.2,0,22.8125,0,1.032,,0.781155264
26.253,4.176371156,0,24.67444315,25.26166092,14.23518346,-0.832957995,481,14,100.2,0,22.8125,0,1.032,,0.832957995
26.353,4.17629142,0,24.69419872,25.2419274,14.20281648,-0.848897297,481,14,100.2,0,22.8125,0,1.032,,0.848897297
26.453,4.176371156,0,24.69419872,25.27152755,14.22871006,-0.832957995,481,14,100.2,0,22.8125,0,1.032,,0.832957995
26.553,4.176251552,0,24.71395393,25.26166092,14.19957978,-0.781155264,481,14,100.2,0,22.8125,0,1.032,,0.781155264
26.653,4.17629142,0,24.68432098,25.28139409,14.23194676,-0.91663933,481,14,100.2,0,22.8125,0,1.032,,0.91663933
26.753,4.176251552,0,24.70407637,25.2517942,14.18663299,-0.821003519,481,14,100.2,0,22.8125,0,1.032,,0.821003519
26.853,4.17629142,0,24.70407637,25.27152755,14.20281648,-0.844912472,481,14,100.2,0,22.8125,0,1.032,,0.844912472
26.953,4.176251552,0,24.69419872,25.27152755,14.24165685,-0.91663933,481,14,100.2,0,22.8125,0,1.032,,0.91663933
27.053,4.17629142,0,24.68432098,25.28139409,14.14779261,-0.856866948,481,14,100.2,0,22.8125,0,1.032,,0.856866948
27.153,4.17629142,0,24.71395393,25.27152755,14.19957978,-0.82897317,481,14,100.2,0,22.8125,0,1.032,,0.82897317
27.253,4.17629142,0,24.70407637,25.31099317,14.21576327,-0.844912472,481,14,100.2,0,22.8125,0,1.032,,0.844912472
27.353,4.176251552,0,24.70407637,25.2517942,14.18339629,-0.789124915,481,14,100.2,0,22.8125,0,1.032,,0.789124915
27.453,4.17629142,0,24.70407637,25.3011269,14.21252657,-0.900700028,481,14,100.2,0,22.8125,0,1.032,,0.900700028
27.553,4.176251552,0,24.71395393,25.28139409,14.18339629,-0.805064217,481,14,100.2,0,22.8125,0,1.032,,0.805064217
27.653,4.176251552,0,24.70407637,25.26166092,14.23518346,-0.840927646,480,14,100.2,0,22.8125,0,1.032,,0.840927646
27.753,4.17629142,0,24.71395393,25.26166092,14.21252657,-0.884760726,480,14,100.2,0,22.8125,0,1.032,,0.884760726
27.853,4.17629142,0,24.68432098,25.26166092,14.20605318,-0.725367707,480,14,100.2,0,22.8125,0,1.032,,0.725367707
27.953,4.176371156,0,24.69419872,25.26166092,14.21252657,-0.856866948,480,14,100.2,0,22.8125,0,1.032,,0.856866948
28.053,4.176211684,0,24.69419872,25.26166092,14.20281648,-0.896715203,480,14,100.2,0,22.8125,0,1.032,,0.896715203
28.153,4.176171816,0,24.73370878,25.2419274,14.20281648,-0.801079391,480,14,100.2,0,22.8125,0,1.032,,0.801079391
28.253,4.176331288,0,24.69419872,25.27152755,14.12513573,-0.805064217,480,14,100.2,0,22.8125,0,1.032,,0.805064217
28.353,4.176331288,0,24.70407637,25.27152755,14.22223667,-0.836942821,480,14,100.2,0,22.8125,0,1.032,,0.836942821
28.453,4.176251552,0,24.70407637,25.26166092,14.24165685,-0.824988344,480,14,100.2,0,22.8125,0,1.032,,0.824988344
28.553,4.17629142,0,24.71395393,25.27152755,14.20281648,-0.805064217,480,14,100.2,0,22.8125,0,1.032,,0.805064217
28.653,4.17629142,0,24.69419872,25.22219351,14.1607394,-0.824988344,480,14,100.2,0,22.8125,0,1.032,,0.824988344
28.753,4.176331288,0,24.70407637,25.2517942,14.21252657,-0.797094566,480,14,100.2,0,22.8125,0,1.032,,0.797094566
28.853,4.17629142,0,24.73370878,25.2419274,14.22871006,-0.876791076,480,14,100.2,0,22.8125,0,1.032,,0.876791076
28.953,4.176331288,0,24.69419872,25.26166092,14.24165685,-0.840927646,480,14,100.2,0,22.8125,0,1.032,,0.840927646
29.053,4.17629142,0,24.70407637,25.2517942,14.24165685,-0.892730377,480,14,100.2,0,22.78125,0,1.032,,0.892730377
29.153,4.17629142,0,24.7238314,25.2517942,14.21576327,-0.805064217,480,14,100.2,0,22.78125,0,1.032,,0.805064217
29.253,4.17629142,0,24.70407637,25.2517942,14.18986969,-0.745291835,480,14,100.2,0,22.78125,0,1.032,,0.745291835
29.353,4.176331288,0,24.70407637,25.26166092,14.20281648,-0.821003519,480,14,100.2,0,22.78125,0,1.032,,0.821003519
29.453,4.176211684,0,24.69419872,25.27152755,14.19634308,-0.91663933,480,14,100.2,0,22.78125,0,1.032,,0.91663933
